text,type,count-occurences-total,count-documents
seventy,CARDINAL,1,1
270,CARDINAL,6,5
2004,DATE,74,56
2007,DATE,148,90
28,CARDINAL,19,17
0.07%,PERCENT,1,1
around 20%,PERCENT,3,3
earth,LOC,180,65
6 metres,QUANTITY,2,2
20 ft,QUANTITY,2,2
between 50,CARDINAL,2,1
122,CARDINAL,8,7
150,CARDINAL,41,33
302,CARDINAL,3,2
between 25,CARDINAL,2,2
77,CARDINAL,9,9
90,CARDINAL,53,24
194,CARDINAL,2,2
100,CARDINAL,121,74
212,CARDINAL,9,8
5,CARDINAL,153,101
41,CARDINAL,8,8
more than half,CARDINAL,10,7
third,ORDINAL,134,100
reykjavík,PERSON,1,1
reykjavík,NORP,1,1
iceland,GPE,13,4
boise,GPE,2,1
idaho,GPE,12,8
klamath falls,PERSON,1,1
oregon,GPE,41,24
europe,LOC,168,92
280,CARDINAL,8,7
2016,DATE,126,82
the european geothermal energy council,ORG,1,1
approximately 4.9,CARDINAL,1,1
japan,GPE,205,92
"2,100m",MONEY,1,1
36mw,ORDINAL,1,1
first,ORDINAL,1444,434
10,CARDINAL,128,84
10–12,ORG,1,1
50–54 °,GPE,1,1
seasonally,DATE,6,6
50–400 feet,QUANTITY,1,1
approximately six feet,QUANTITY,1,1
the summer months,DATE,3,3
an estimated million,CARDINAL,1,1
15,CARDINAL,51,42
88,CARDINAL,2,2
10%,PERCENT,41,33
annually,DATE,26,25
china,GPE,251,78
mount li,LOC,1,1
the qin dynasty in the 3rd century,DATE,1,1
the first century,DATE,5,4
romans,NORP,1,1
aquae sulis,PERSON,1,1
england,GPE,73,55
underfloor,ORG,10,5
one,CARDINAL,1347,442
france,GPE,141,68
the 14th century,DATE,2,2
1827,DATE,9,6
larderello,GPE,1,1
italy,GPE,74,52
1892,DATE,14,9
america,GPE,31,23
klamath,GPE,1,1
1900,DATE,12,11
1926,DATE,12,11
charlie lieb,PERSON,1,1
1930,DATE,18,17
1943,DATE,14,14
kelvin,PERSON,10,6
1852,DATE,3,3
1912,DATE,9,8
the late 1940s,DATE,8,8
robert c. webber's,PERSON,1,1
2.2 kw,QUANTITY,2,2
j. donald kroeker,PERSON,1,1
portland,GPE,10,7
1946,DATE,8,8
